精彩诗句	578	564	0.975778547	1
村内资源	3652	3533	0.967415115	1
代表国家队	623	602	0.966292135	1
知名产业	3106	2968	0.955569865	1
农产品	681	637	0.935389134	1
性味	1024	951	0.928710938	1
周围景观	85637	79182	0.924623702	1
村内企业	3001	2747	0.915361546	1
涵盖功能	1797	1626	0.904841402	1
作品标签	1588	1429	0.899874055	1
名句	957	810	0.846394984	1
主要配音	3222	2700	0.837988827	1
房间设施	572	470	0.821678322	1
核心/线程	608	488	0.802631579	0
集成芯片	2700	2109	0.781111111	1
企业精神	2012	1552	0.771371769	1
主演	67521	52025	0.770501029	1
主要农产品	5591	4302	0.769450903	1
经营宗旨	658	502	0.762917933	1
农作物	761	569	0.747700394	1
经营理念	5161	3769	0.730284829	1
曾效力	595	433	0.727731092	1
校风	839	600	0.715137068	1
音频格式	881	616	0.699205448	1
用法用量	8043	5609	0.697376601	1
对外投资	3141183	2166255	0.689630308	1
股东	3141378	2166168	0.689559805	1
企业理念	918	633	0.689542484	1
主要城市	925	635	0.686486486	1
处方	651	439	0.674347158	1
服务设施	545	366	0.671559633	1
企业宗旨	995	666	0.669346734	1
广泛用于	536	358	0.667910448	1
网络频率	4016	2666	0.663844622	0
设施	723	472	0.652835408	1
主要院系	10319	6718	0.651032077	1
公司宗旨	527	343	0.65085389	1
医院院训	630	409	0.649206349	1
家庭成员	586	380	0.648464164	1
药物组成	1207	780	0.646230323	1
功用	1435	924	0.643902439	1
主要症状	1922	1226	0.637877211	1
服务宗旨	1656	1054	0.63647343	1
公司口号	29867	18827	0.630361268	1
参战方兵力	923	579	0.627302275	1
主要景点	555	347	0.625225225	1
CATEGORY_ZH	8423273	5211299	0.61867863	1
其他电视台	733	453	0.618008186	1
办学理念	1334	822	0.616191904	1
参战方	3135	1928	0.614992026	1
主要栏目	547	336	0.614259598	1
配方	585	359	0.613675214	1
办学宗旨	691	424	0.613603473	1
企业文化	1097	673	0.61349134	1
价值观	557	339	0.608617594	1
功能主治	2025	1229	0.60691358	1
法律诉讼	287258	173084	0.602538485	1
佐料	726	435	0.599173554	1
核心价值观	628	373	0.593949045	1
服务理念	1681	998	0.59369423	1
资源	661	392	0.593040847	1
主要食材	68005	40163	0.590588927	1
公司理念	669	395	0.590433483	1
主要指挥官	1728	1018	0.58912037	1
主治	4013	2356	0.587091951	1
功效	9694	5680	0.585929441	1
数据业务	824	479	0.58131068	1
精神	933	542	0.580921758	1
流经地区	569	329	0.578207381	1
气味	605	349	0.576859504	1
公交	1043	600	0.575263663	1
周围环境	560	322	0.575	1
主要适用症	6898	3962	0.574369382	1
组成部分	787	448	0.569250318	1
校训	17053	9680	0.567642057	1
爱好	3484	1970	0.565442021	1
保修政策	1189	665	0.559293524	1
